NOM_USUEL,LAT,LON,DEP,REGION
ROMORANTIN,47.319667,1.6875,41,Centre-Val de Loire
BISCARROSSE,44.431667,-1.2475,40,Nouvelle-Aquitaine
DAX,43.689833,-1.07,40,Nouvelle-Aquitaine
MONT-DE-MARSAN,43.909833,-0.500167,40,Nouvelle-Aquitaine
ST GIRONS,43.005333,1.106833,09,Occitanie
METZ-FRESCATY,49.0695,6.125333,57,Grand Est
BELLE ILE-LE TALUT,47.294333,-3.218333,56,Bretagne
LORIENT-LANN BIHOUE,47.762833,-3.435667,56,Bretagne
AJACCIO,41.918,8.792667,20,Corse
CAP PERTUSATO,41.374833,9.178333,20,Corse
CALVI,42.5295,8.7915,20,Corse
CAP CORSE,43.003833,9.3595,20,Corse
FIGARI,41.505167,9.103667,20,Corse
BASTIA,42.540667,9.485167,20,Corse
SOLENZARA,41.921833,9.400833,20,Corse
CHATILLON/SEINE,47.849333,4.581333,21,Bourgogne-Franche-Comté
DIJON-LONGVIC,47.267833,5.088333,21,Bourgogne-Franche-Comté
CHATEAUROUX  DEOLS,46.869833,1.741,36,Centre-Val de Loire
TOURS,47.4445,0.727333,37,Centre-Val de Loire
LYON-BRON,45.721333,4.949167,69,Auvergne-Rhône-Alpes
LYON-ST EXUPERY,45.7265,5.077833,69,Auvergne-Rhône-Alpes
COLMAR-MEYENHEIM,47.928667,7.407667,68,Grand Est
BALE-MULHOUSE,47.614333,7.51,68,Grand Est
ORLY,48.718,2.397,91,Île-de-France
ST QUENTIN,49.818333,3.206,02,Hauts-de-France
VICHY-CHARMEIL,46.166667,3.398667,03,Auvergne-Rhône-Alpes
CAEN-CARPIQUET,49.18,-0.456167,14,Normandie
AURILLAC,44.8915,2.419167,15,Auvergne-Rhône-Alpes
POITIERS-BIARD,46.593833,0.314333,86,Nouvelle-Aquitaine
LIMOGES-BELLEGARDE,45.861167,1.175,87,Nouvelle-Aquitaine
CLERMONT-FD,45.786833,3.149333,63,Auvergne-Rhône-Alpes
CAMBRAI-EPINOY,50.2255,3.163833,62,Hauts-de-France
LE-TOUQUET,50.5145,1.622833,62,Hauts-de-France
PARIS-MONTSOURIS,48.821667,2.337833,75,Île-de-France
BOURGES,47.059167,2.359833,18,Centre-Val de Loire
AVORD,47.052167,2.642167,18,Centre-Val de Loire
AGEN-LA GARENNE,44.172167,0.594667,47,Nouvelle-Aquitaine
GOURDON,44.745,1.396667,46,Occitanie
GONNEVILLE,49.652667,-1.4635,50,Normandie
MONTELIMAR,44.581167,4.733,26,Auvergne-Rhône-Alpes
EVREUX-HUEST,49.025,1.221667,27,Normandie
NIORT,46.315833,-0.400167,79,Nouvelle-Aquitaine
TOUSSUS LE NOBLE,48.750667,2.1135,78,Île-de-France
TRAPPES,48.774333,2.009833,78,Île-de-France
VILLACOUBLAY,48.7725,2.204,78,Île-de-France
NIMES-COURBESSAC,43.856833,4.406333,30,Occitanie
NIMES-GARONS,43.772833,4.412833,30,Occitanie
MONT AIGOUAL,44.121333,3.5815,30,Occitanie
TOULOUSE-BLAGNAC,43.621,1.378833,31,Occitanie
TOULOUSE-FRANCAZAL,43.540333,1.372667,31,Occitanie
ST AUBAN,44.062167,5.989667,04,Provence-Alpes-Côte d'Azur
EMBRUN,44.571167,6.508667,05,Provence-Alpes-Côte d'Azur
ABBEVILLE,50.136,1.834,80,Hauts-de-France
MILLAU,44.1185,3.0195,12,Occitanie
ISTRES,43.522667,4.9275,13,Provence-Alpes-Côte d'Azur
MARIGNANE,43.437667,5.216,13,Provence-Alpes-Côte d'Azur
SALON DE PROVENCE,43.612833,5.108,13,Provence-Alpes-Côte d'Azur
TARBES-LOURDES-PYRENEES,43.188,0.0,65,Occitanie
BIARRITZ-PAYS-BASQUE,43.469333,-1.534333,64,Nouvelle-Aquitaine
PAU-UZEIN,43.385,-0.416333,64,Nouvelle-Aquitaine
BOURG ST MAURICE,45.612667,6.763333,73,Auvergne-Rhône-Alpes
CHAMBERY-AIX,45.641333,5.878,73,Auvergne-Rhône-Alpes
LE MANS,47.945833,0.194167,72,Pays de la Loire
FREJUS,45.193667,6.674167,73,Auvergne-Rhône-Alpes
